,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
0,Ostrovnoy,RU,1631774783,68.0531,39.5131,43.29,96,100,23.64
1,Mahébourg,MU,1631774594,-20.4081,57.7,74.25,78,75,9.22
2,Qaanaaq,GL,1631774553,77.484,-69.3632,15.78,75,100,8.43
3,Zhuhai,CN,1631774501,22.2769,113.5678,91.78,70,20,6.91
4,Cape Town,ZA,1631774529,-33.9258,18.4232,58.12,78,20,4.0
5,Atuona,PF,1631774784,-9.8,-139.0333,78.13,72,3,20.98
6,Flinders,AU,1631774784,-34.5833,150.8552,64.2,67,50,5.01
7,Opuwo,NA,1631774785,-18.0607,13.84,72.09,19,6,2.44
8,Tiksi,RU,1631774785,71.6872,128.8694,43.93,74,100,5.14
9,Pushkinskiye Gory,RU,1631774785,57.0209,28.9103,48.51,62,32,1.05
10,Aykhal,RU,1631774786,66.0,111.5,44.58,51,94,15.03
11,Castro,BR,1631774786,-24.7911,-50.0119,56.32,98,100,6.91
12,Avarua,CK,1631774773,-21.2078,-159.775,75.25,83,75,11.5
13,Saskylakh,RU,1631774786,71.9167,114.0833,42.64,87,100,13.44
14,Constitución,CL,1631774787,-35.3333,-72.4167,49.57,80,0,7.0
15,Albany,US,1631774787,42.6001,-73.9662,63.81,95,100,1.81
16,Vilyuysk,RU,1631774787,63.7553,121.6247,49.62,58,100,7.05
17,Ushuaia,AR,1631774788,-54.8,-68.3,31.66,93,75,27.63
18,Bambous Virieux,MU,1631774788,-20.3428,57.7575,74.21,78,75,9.22
19,Kodinsk,RU,1631774788,58.6881,99.1844,48.25,62,100,3.69
20,Teknāf,BD,1631774789,20.8624,92.3058,85.35,73,99,4.74
21,Busselton,AU,1631774789,-33.65,115.3333,54.05,63,90,20.85
22,Ambon City,ID,1631774789,-3.6954,128.1814,82.54,89,40,4.61
23,Maragogi,BR,1631774789,-9.0122,-35.2225,75.58,79,10,7.38
24,Fallon,US,1631774790,39.4735,-118.7774,73.92,20,1,8.05
25,Kantang,TH,1631774790,7.4054,99.5156,89.69,62,40,4.61
26,Colonelganj,IN,1631774790,27.1333,81.7,72.95,96,100,22.68
27,Punta Arenas,CL,1631774775,-53.15,-70.9167,32.11,74,75,3.44
28,Rikitea,PF,1631774791,-23.1203,-134.9692,73.87,71,0,14.97
29,New Norfolk,AU,1631774791,-42.7826,147.0587,53.74,58,78,1.01
30,Gobabis,NA,1631774791,-22.45,18.9667,64.4,12,4,12.55
31,Qingdao,CN,1631774792,36.0986,120.3719,83.8,45,40,6.71
32,Port Hardy,CA,1631774755,50.6996,-127.4199,50.0,93,1,5.75
33,Arman',RU,1631774792,59.7,150.1667,52.59,80,7,3.04
34,Mamakan,RU,1631774792,57.8161,114.0028,49.91,57,100,5.7
35,Bethel,US,1631774793,41.3712,-73.414,72.48,85,20,0.0
36,Charter Township of Clinton,US,1631774793,42.587,-82.9199,62.67,92,1,3.44
37,Varhaug,NO,1631774793,58.6147,5.6457,56.89,76,100,8.5
38,Ayan,RU,1631774794,56.45,138.1667,57.65,76,100,1.23
39,Mayor Pablo Lagerenza,PY,1631774794,-19.9309,-60.7718,63.66,46,100,5.66
40,Hermanus,ZA,1631774794,-34.4187,19.2345,59.9,72,99,11.01
41,Torbay,CA,1631774794,47.6666,-52.7314,52.68,86,90,16.11
42,Yellowknife,CA,1631774795,62.456,-114.3525,41.52,75,1,16.11
43,Kruisfontein,ZA,1631774795,-34.0033,24.7314,55.89,60,82,13.15
44,Puerto Ayora,EC,1631774795,-0.7393,-90.3518,66.54,96,29,9.78
45,Rosita,NI,1631774796,13.9268,-84.4032,72.63,99,59,1.83
46,Beloha,MG,1631774796,-25.1667,45.05,88.72,25,0,1.9
47,Port Elizabeth,ZA,1631774704,-33.918,25.5701,58.1,77,20,14.97
48,Port Alfred,ZA,1631774797,-33.5906,26.891,59.4,73,97,14.32
49,Garchitorena,PH,1631774797,13.8804,123.6946,84.43,71,100,4.16
50,Saint Paul Harbor,US,1631774797,57.79,-152.4072,51.31,93,90,18.41
51,Mar del Plata,AR,1631774635,-38.0023,-57.5575,44.62,76,0,8.05
52,Tāybād,IR,1631774798,34.74,60.7756,90.52,9,0,22.88
53,Cabo San Lucas,MX,1631774799,22.8909,-109.9124,83.52,78,9,8.9
54,Tiarei,PF,1631774799,-17.5333,-149.3333,78.82,78,11,19.39
55,Khatanga,RU,1631774799,71.9667,102.5,35.6,95,100,11.97
56,Pisco,PE,1631774799,-13.7,-76.2167,61.02,82,72,9.22
57,Kolyvan',RU,1631774800,55.3053,82.7391,69.42,46,100,8.21
58,Hofn,IS,1631774800,64.2539,-15.2082,51.66,97,83,14.34
59,Bontang,ID,1631774800,0.1333,117.5,74.3,91,100,6.06
60,Sault Ste. Marie,CA,1631774801,46.5168,-84.3333,58.89,87,1,3.44
61,Zhigansk,RU,1631774801,66.7697,123.3711,48.83,52,100,5.93
62,Thompson,CA,1631774801,55.7435,-97.8558,44.76,93,40,4.61
63,Pevek,RU,1631774801,69.7008,170.3133,31.62,89,100,11.23
64,Nanortalik,GL,1631774802,60.1432,-45.2371,37.72,80,100,12.35
65,Bilibino,RU,1631774802,68.0546,166.4372,24.87,87,91,3.6
66,Dikson,RU,1631774802,73.5069,80.5464,38.82,93,100,24.02
67,Hambantota,LK,1631774803,6.1241,81.1185,91.74,58,75,16.11
68,Béja,TN,1631774803,36.7256,9.1817,87.46,31,100,3.38
69,Fortuna,US,1631774803,40.5982,-124.1573,56.43,73,40,0.0
70,Ponta do Sol,PT,1631774804,32.6667,-17.1,74.03,71,21,5.26
71,Qasigiannguit,GL,1631774804,68.8193,-51.1922,26.85,74,94,6.42
72,Butaritari,KI,1631774804,3.0707,172.7902,82.98,71,100,14.92
73,Virginia Beach,US,1631774804,36.8529,-75.978,77.05,92,75,3.44
74,Hobyo,SO,1631774805,5.3505,48.5268,83.71,70,35,22.26
75,Saint George,US,1631774805,37.1041,-113.5841,79.39,23,1,1.99
76,Pontes e Lacerda,BR,1631774805,-15.2261,-59.3353,76.46,73,99,0.85
77,Khor,RU,1631774806,47.8861,134.9464,61.75,71,100,9.69
78,Crotone,IT,1631774806,39.0851,17.1178,75.15,68,0,2.3
79,Bāglung,NP,1631774806,28.2719,83.5898,69.06,93,100,3.18
80,Raglan,NZ,1631774806,-37.8,174.8833,56.08,95,73,9.17
81,Jamestown,US,1631774807,42.097,-79.2353,57.09,99,75,1.99
82,Sur,OM,1631774807,22.5667,59.5289,93.63,36,55,5.93
83,Araouane,ML,1631774807,18.9048,-3.5265,88.61,36,87,7.25
84,Emerald,AU,1631774807,-23.5333,148.1667,84.34,16,0,6.91
85,Launceston,AU,1631774808,-41.45,147.1667,56.84,55,75,4.0
86,Nikolskoye,RU,1631774808,59.7035,30.7861,46.29,85,100,3.78
87,Ambilobe,MG,1631774808,-13.2,49.05,90.5,32,7,9.28
88,Cidreira,BR,1631774809,-30.1811,-50.2056,54.97,67,99,2.84
89,Ternate,ID,1631774809,0.8,127.4,81.73,74,100,5.88
90,Tarauacá,BR,1631774809,-8.1614,-70.7656,71.67,87,50,1.79
91,Bella Vista,US,1631774809,36.4295,-94.2316,72.21,85,1,1.01
92,Xichang,CN,1631774810,27.8964,102.2634,79.38,68,35,4.25
93,Antakya,TR,1631774810,36.2066,36.1572,73.22,57,7,7.2
94,Najrān,SA,1631774810,17.4924,44.1277,84.85,14,12,7.16
95,Agirish,RU,1631774811,61.9247,63.0231,42.24,90,100,14.16
96,Mataura,NZ,1631774811,-46.1927,168.8643,43.48,87,53,3.02
97,Katsuura,JP,1631774811,35.1333,140.3,77.11,75,42,15.99
98,Shalinskoye,RU,1631774812,55.7228,93.7594,55.6,83,100,4.52
99,Barrow,US,1631774812,71.2906,-156.7887,33.82,80,90,9.22
100,Sorong,ID,1631774812,-0.8833,131.25,82.0,80,100,12.08
101,Kingston,JM,1631774716,17.997,-76.7936,81.55,80,40,2.3
102,Ketchikan,US,1631774813,55.3422,-131.6461,48.67,93,75,3.44
103,Kapaa,US,1631774813,22.0752,-159.319,78.78,79,40,10.36
104,Mbigou,GA,1631774814,-1.9005,11.906,71.19,92,99,4.88
105,Yakeshi,CN,1631774814,49.2833,120.7333,60.17,55,6,15.19
106,Hilo,US,1631774814,19.7297,-155.09,79.29,94,90,6.91
107,Whitehorse,CA,1631774667,60.7161,-135.0538,43.57,65,40,10.36
108,Bonthe,SL,1631774815,7.5264,-12.505,73.69,94,100,4.63
109,Bara,NG,1631774815,10.3744,10.7288,78.13,82,100,5.73
110,Lompoc,US,1631774815,34.6391,-120.4579,57.51,86,90,3.44
111,Port Blair,IN,1631774816,11.6667,92.75,77.02,88,100,5.82
112,Bredasdorp,ZA,1631774816,-34.5322,20.0403,54.72,71,96,6.91
113,Thinadhoo,MV,1631774816,0.5333,72.9333,84.45,65,100,9.66
114,Koumac,NC,1631774816,-20.5667,164.2833,69.58,61,72,12.3
115,Faanui,PF,1631774817,-16.4833,-151.75,79.29,73,1,20.02
116,Xam Nua,LA,1631774817,20.4197,104.0439,80.46,73,100,1.05
117,East London,ZA,1631774817,-33.0153,27.9116,58.14,67,40,16.11
118,São Filipe,CV,1631774817,14.8961,-24.4956,79.59,81,25,9.8
119,Deputatsky,RU,1631774818,69.3,139.9,44.94,72,100,4.09
120,Chui,UY,1631774818,-33.6971,-53.4616,46.38,81,0,6.53
121,Sitka,US,1631774818,57.0531,-135.33,49.89,81,75,8.05
122,Forio,IT,1631774819,40.7342,13.8646,76.42,84,67,3.0
123,Ruska Poliana,UA,1631774819,49.417,31.9201,61.7,35,100,4.85
124,San Felipe,VE,1631774819,10.3399,-68.7425,70.52,95,61,2.19
125,Arraial do Cabo,BR,1631774819,-22.9661,-42.0278,70.79,96,100,14.45
126,Margate,GB,1631774820,51.3813,1.3862,56.95,90,100,1.01
127,Aklavik,CA,1631774820,68.2191,-135.0107,49.03,80,83,1.68
128,Lokosovo,RU,1631774820,61.1333,74.8167,50.07,95,100,9.78
129,Paita,PE,1631774821,-5.0892,-81.1144,62.92,86,38,10.22
130,Cravo Norte,CO,1631774821,6.3017,-70.2041,73.9,91,93,4.23
131,Motygino,RU,1631774821,58.1831,94.7592,54.57,43,40,2.77
132,West Wendover,US,1631774821,40.7391,-114.0733,63.61,27,1,3.44
133,Adrar,MR,1631774822,20.5022,-10.0711,85.86,24,68,9.31
134,Melfi,IT,1631774822,40.9965,15.6514,75.22,30,100,4.32
135,Kibaya,TZ,1631774822,-5.3,36.5667,68.61,57,74,6.06
136,Iqaluit,CA,1631774823,63.7506,-68.5145,33.53,93,90,0.0
137,Lavrentiya,RU,1631774823,65.5833,-171.0,37.24,70,100,8.77
138,Morondava,MG,1631774823,-20.2833,44.2833,81.73,53,7,4.88
139,Vaini,TO,1631774823,-21.2,-175.2,75.36,100,20,3.44
140,George Town,MY,1631774824,5.4112,100.3354,91.33,70,20,8.05
141,Sanchazi,CN,1631774544,42.0817,126.6003,59.11,98,100,2.06
142,Sarāi Mīr,IN,1631774824,26.0167,82.9167,76.98,92,100,14.94
143,Yichun,CN,1631774825,47.7,128.9,52.74,97,100,3.67
144,Plainview,US,1631774825,40.7765,-73.4673,74.66,92,40,1.01
145,Comodoro Rivadavia,AR,1631774750,-45.8667,-67.5,53.46,50,0,20.71
146,Nardaran,AZ,1631774826,40.5561,50.0056,82.04,44,0,4.61
147,Nagua,DO,1631774826,19.3832,-69.8474,75.45,91,6,4.81
148,Ibrā’,OM,1631774826,22.6906,58.5334,98.92,14,76,3.65
149,Ganzhou,CN,1631774827,28.8184,115.4327,87.85,50,0,5.75
150,Talnakh,RU,1631774827,69.4865,88.3972,38.3,97,100,12.03
151,Coahuayana Viejo,MX,1631774828,18.7333,-103.6833,75.67,94,96,3.04
152,Sinnamary,GF,1631774828,5.3833,-52.95,78.37,85,2,6.17
153,Porto-Novo,BJ,1631774829,6.4965,2.6036,75.02,86,76,3.87
154,Havøysund,NO,1631774829,70.9963,24.6622,45.48,73,22,11.3
155,Bjørnevatn,NO,1631774829,69.6672,29.9847,38.82,93,75,3.44
156,Narsaq,GL,1631774830,60.9167,-46.05,34.02,44,100,3.15
157,Charlestown,AU,1631774830,-32.95,151.6667,64.02,70,9,4.0
158,Trat,TH,1631774832,12.5,102.5,80.8,78,100,6.42
159,Manado,ID,1631774832,1.487,124.8455,83.17,74,40,9.22
160,Province of Trapani,IT,1631774560,37.8333,12.6667,77.18,94,0,11.5
161,São João da Barra,BR,1631774833,-21.6403,-41.0511,73.13,91,99,9.55
162,Saint-Philippe,RE,1631774833,-21.3585,55.7679,78.35,72,0,11.27
163,Haines Junction,CA,1631774833,60.7522,-137.5108,40.95,70,100,2.3
164,Kathmandu,NP,1631774834,27.7167,85.3167,75.42,83,75,2.3
165,Norman Wells,CA,1631774663,65.282,-126.8329,48.24,66,75,4.61
166,Brainerd,US,1631774621,46.358,-94.2008,66.49,52,75,17.27
167,Yumen,CN,1631774834,40.2833,97.2,78.31,18,0,7.34
168,Straumen,NO,1631774835,63.8709,11.2999,51.62,78,85,4.94
169,Camacha,PT,1631774835,33.0833,-16.3333,70.56,78,40,12.66
170,Teya,RU,1631774835,60.3778,92.6267,47.25,69,90,3.11
171,Vitim,RU,1631774835,59.4511,112.5578,38.98,98,100,4.03
172,Antsohihy,MG,1631774836,-14.8796,47.9875,90.16,31,17,4.16
173,Kavieng,PG,1631774836,-2.5744,150.7967,81.99,76,87,9.51
174,La Esperanza,GT,1631774836,14.8667,-91.5667,52.95,86,37,1.7
175,Clyde River,CA,1631774837,70.4692,-68.5914,28.85,78,59,1.34
176,Nador,MA,1631774837,35.174,-2.9287,64.65,88,0,3.44
177,Keflavik,IS,1631774837,64.0049,-22.5624,51.71,100,90,17.27
178,Faya,SA,1631774838,18.3851,42.4509,75.72,28,15,4.14
179,Chokurdakh,RU,1631774838,70.6333,147.9167,40.77,66,100,8.16
180,Le Marin,MQ,1631774838,14.4721,-60.8697,78.71,89,20,2.3
181,Tasiilaq,GL,1631774712,65.6145,-37.6368,37.56,90,99,6.67
182,Udachny,RU,1631774839,66.4167,112.4,47.89,46,96,13.94
183,Monrovia,LR,1631774839,6.3005,-10.7969,74.91,89,100,3.36
184,Burnie,AU,1631774840,-41.0667,145.9167,56.91,61,4,4.97
185,Kaitangata,NZ,1631774840,-46.2817,169.8464,42.28,76,82,4.97
186,Yamada,JP,1631774840,39.4667,141.95,63.12,61,96,5.32
187,Mackay,AU,1631774840,-21.15,149.2,73.38,56,0,12.66
188,Lagoa,PT,1631774841,39.05,-27.9833,70.93,77,6,7.85
189,Bluff,NZ,1631774841,-46.6,168.3333,43.81,62,60,10.8
190,St. George's,GD,1631774841,12.0564,-61.7485,80.96,81,8,12.48
191,Naryan-Mar,RU,1631774842,67.6713,53.087,47.44,70,100,14.63
192,Port Hedland,AU,1631774842,-20.3167,118.5667,84.25,32,10,19.57
193,Hithadhoo,MV,1631774842,-0.6,73.0833,83.32,71,73,9.71
194,Beringovskiy,RU,1631774842,63.05,179.3167,38.88,78,23,3.4
195,Codrington,AU,1631774843,-38.2667,141.9667,58.48,69,70,5.64
196,Ilulissat,GL,1631774843,69.2167,-51.1,26.62,39,40,34.52
197,Coquimbo,CL,1631774843,-29.9533,-71.3436,49.73,87,0,3.44
198,Grand Baie,MU,1631774844,-20.0182,57.5802,74.44,79,8,5.99
199,Kaabong,UG,1631774844,3.4836,34.1492,72.16,62,54,10.33
200,Lázaro Cárdenas,MX,1631774844,17.9583,-102.2,76.55,91,100,4.5
201,Luanda,AO,1631774768,-8.8368,13.2343,71.6,88,75,5.75
202,Río Gallegos,AR,1631774845,-51.6226,-69.2181,32.05,74,0,9.22
203,Namatanai,PG,1631774845,-3.6667,152.4333,81.95,75,86,9.15
204,Severo-Kuril'sk,RU,1631774846,50.6789,156.125,51.46,79,0,8.48
205,Hutang,CN,1631774846,31.5333,119.4833,86.13,65,32,9.28
206,Namioka,JP,1631774846,40.7072,140.5894,74.05,56,75,10.36
207,Mnogovershinnyy,RU,1631774847,53.9353,139.9242,61.61,60,100,7.18
208,San Rafael del Sur,NI,1631774847,11.8485,-86.4384,74.37,88,100,2.82
209,Paamiut,GL,1631774847,61.994,-49.6678,37.36,69,100,4.25
210,Ribeira Grande,PT,1631774847,38.5167,-28.7,68.4,88,20,3.44
211,Labuhan,ID,1631774848,-6.8844,112.2051,87.51,60,63,12.86
212,Mount Gambier,AU,1631774848,-37.8333,140.7667,62.51,51,0,8.05
213,Pesca,CO,1631774848,5.55,-73.05,48.13,92,95,2.08
214,Mount Isa,AU,1631774849,-20.7333,139.5,92.97,12,5,11.5
215,Le Port,RE,1631774849,-20.9373,55.2919,78.76,66,0,1.16
216,Hobart,AU,1631774849,-42.8794,147.3294,54.05,74,20,14.97
217,Dublin,US,1631774598,37.7021,-121.9358,59.58,84,1,5.01
218,Salalah,OM,1631774778,17.0151,54.0924,86.09,79,75,4.61
219,Beisfjord,NO,1631774850,68.3751,17.5988,46.26,68,100,7.25
220,Ust-Tsilma,RU,1631774850,65.441,52.1498,47.34,73,100,3.98
221,Marawi,PH,1631774851,7.9986,124.2928,72.64,83,98,3.76
222,Samaná,DO,1631774851,19.2056,-69.3369,75.85,90,8,3.74
223,Koronowo,PL,1631774574,53.3137,17.937,60.84,96,100,4.34
224,Ekimchan,RU,1631774851,53.0667,132.9667,51.3,94,100,2.42
225,Carnarvon,AU,1631774604,-24.8667,113.6333,71.67,46,19,20.71
226,Arrondissement de Saint-Denis,FR,1631774852,48.9167,2.3333,61.36,90,20,1.99
227,Tabas,IR,1631774852,33.5959,56.9244,94.32,7,0,2.75
228,City of San Pedro,PH,1631774853,14.35,121.0167,83.1,68,90,9.22
229,Aketi,CD,1631774853,2.7388,23.7833,73.44,95,100,0.58
230,Moses Lake,US,1631774854,47.1301,-119.2781,56.08,35,1,14.97
231,Mocuba,MZ,1631774854,-16.8392,36.9856,90.05,29,21,4.79
232,Hamilton,US,1631774855,39.1834,-84.5333,68.04,92,90,3.44
233,San Juan del Sur,NI,1631774855,11.2529,-85.8705,77.43,83,98,3.22
234,Katobu,ID,1631774855,-4.9408,122.5276,85.6,62,100,6.64
235,Banjar,ID,1631774856,-8.19,114.9675,84.06,76,41,0.96
236,Provideniya,RU,1631774856,64.3833,-173.3,37.51,65,90,8.95
237,Andradas,BR,1631774857,-22.0681,-46.5692,69.76,65,100,4.27
238,Bose,IT,1631774857,45.4612,8.0137,66.76,90,100,1.07
239,Manzhouli,CN,1631774858,49.6,117.4333,66.78,44,26,11.88
240,Lockhart,US,1631774858,28.6194,-81.4426,78.1,78,100,4.34
241,Anadyr,RU,1631774648,64.75,177.4833,45.1,65,0,8.95
242,Bandarbeyla,SO,1631774859,9.4942,50.8122,89.24,52,100,24.09
243,Buchach,UA,1631774859,49.0625,25.388,56.59,54,20,9.46
244,Pasni,PK,1631774859,25.2631,63.471,85.5,63,0,9.06
245,Tuktoyaktuk,CA,1631774860,69.4541,-133.0374,44.64,79,48,8.52
246,Okha,RU,1631774860,53.5739,142.9478,64.29,62,100,11.99
247,Puerto Escondido,MX,1631774860,15.85,-97.0667,79.48,88,32,5.03
248,Ancud,CL,1631774861,-41.8697,-73.8203,50.43,91,100,13.27
249,Lebu,CL,1631774861,-37.6167,-73.65,46.31,85,2,6.8
250,Port Lincoln,AU,1631774861,-34.7333,135.8667,65.14,55,64,22.48
251,Leningradskiy,RU,1631774861,69.3833,178.4167,29.48,89,100,4.16
252,Kajaani,FI,1631774781,64.2273,27.7285,42.85,75,90,4.61
253,Murray Bridge,AU,1631774862,-35.1167,139.2667,75.56,34,0,10.31
254,Rocha,UY,1631774862,-34.4833,-54.3333,46.89,77,0,7.49
255,Tagusao,PH,1631774863,9.1924,117.8141,83.37,70,100,6.13
256,Cobija,BO,1631774864,-11.0267,-68.7692,71.74,92,80,1.14
257,Port-Gentil,GA,1631774864,-0.7193,8.7815,76.96,88,40,6.91
258,Te Anau,NZ,1631774864,-45.4167,167.7167,37.6,95,49,6.08
259,Kumul,CN,1631774865,42.8,93.45,88.0,10,94,3.13
260,Pahrump,US,1631774715,36.2083,-115.9839,84.6,12,0,1.99
261,Fort Frances,CA,1631774866,48.5999,-93.4003,66.42,48,90,5.75
262,Mthatha,ZA,1631774866,-31.5889,28.7844,52.36,62,100,1.14
263,Markova,UA,1631774867,48.6758,24.4138,54.99,67,99,3.02
264,Saint-Leu,RE,1631774867,-21.15,55.2833,77.83,66,1,3.58
265,Jalu,LY,1631774867,29.0331,21.5482,78.19,38,0,7.02
266,Alice Springs,AU,1631774868,-23.7,133.8833,96.35,11,41,17.27
267,Zaraza,VE,1631774869,9.3503,-65.3245,72.1,92,0,1.54
268,Dingle,PH,1631774869,10.9995,122.6711,79.21,84,100,7.27
269,Bodden Town,KY,1631774869,19.2833,-81.25,82.0,90,100,7.0
270,Griffith,US,1631774869,41.5284,-87.4237,64.89,97,1,0.0
271,Coyhaique,CL,1631774789,-45.5752,-72.0662,46.35,87,90,6.91
272,São Félix do Xingu,BR,1631774870,-6.6447,-51.995,71.67,71,2,0.89
