,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
273,Santa Rosa,PH,1631774870,14.3122,121.1114,83.86,68,96,4.79
274,Goderich,CA,1631774871,43.7501,-81.7165,54.91,87,0,4.61
275,Vila Velha,BR,1631774871,-20.3297,-40.2925,73.35,88,40,6.91
276,Rabo de Peixe,PT,1631774871,37.8,-25.5833,63.91,88,75,2.3
277,Soyo,AO,1631774872,-6.1349,12.3689,77.05,86,99,8.5
278,Cayenne,GF,1631774708,4.9333,-52.3333,82.09,82,0,1.01
279,Saldanha,ZA,1631774872,-33.0117,17.9442,50.05,75,0,17.85
280,Santa Inês,BR,1631774872,-3.6667,-45.38,72.01,95,73,1.92
281,Hasaki,JP,1631774873,35.7333,140.8333,73.8,68,91,18.1
282,Slave Lake,CA,1631774873,55.2834,-114.769,46.38,76,90,31.07
283,Christchurch,NZ,1631774873,-43.5333,172.6333,48.9,71,90,4.0
284,Kibakwe,TZ,1631774874,-6.7167,36.3667,76.05,53,45,5.64
285,Lüderitz,NA,1631774874,-26.6481,15.1594,56.25,53,1,19.98
286,San Andrés,CO,1631774875,12.5847,-81.7006,82.42,78,75,4.61
287,Pangnirtung,CA,1631774875,66.1451,-65.7125,34.63,70,100,1.66
288,San Quintín,MX,1631774875,30.4833,-115.95,68.05,81,0,12.19
289,Union,US,1631774875,40.6334,-74.2663,75.09,86,40,0.0
290,Dudinka,RU,1631774876,69.4058,86.1778,40.28,94,100,4.68
291,Florida,US,1631774876,28.7505,-82.5001,75.97,94,1,0.0
292,Madikeri,IN,1631774876,12.4167,75.7333,73.15,74,100,6.15
293,Esperance,AU,1631774877,-33.8667,121.9,66.04,61,60,28.77
294,Takoradze,GH,1631774830,4.8845,-1.7554,73.98,94,52,6.22
295,Lokomotivnyy,RU,1631774877,53.0118,60.5684,57.06,36,6,16.53
296,Khāsh,IR,1631774659,28.2211,61.2158,89.15,6,0,1.61
297,Mogok,MM,1631774878,22.9167,96.5,75.4,90,100,1.23
298,Mikkeli,FI,1631774878,61.6886,27.2723,43.14,87,90,2.3
299,Jiuquan,CN,1631774878,39.7432,98.5174,78.53,19,0,8.48
300,Betafo,MG,1631774879,-19.8333,46.85,75.69,31,81,4.21
301,Aitape,PG,1631774879,-3.1374,142.3475,76.96,89,100,7.11
302,Alofi,NU,1631774879,-19.0595,-169.9187,75.09,88,0,6.91
303,Yulara,AU,1631774880,-25.2406,130.9889,94.84,12,100,17.27
304,Kvarkeno,RU,1631774880,52.0833,59.725,59.49,40,5,16.08
305,Salinópolis,BR,1631774880,-0.6136,-47.3561,77.54,88,12,7.14
306,Chunhuhub,MX,1631774880,19.55,-88.6833,74.93,97,99,3.24
307,Dunedin,NZ,1631774881,-45.8742,170.5036,45.81,67,99,1.01
308,Nioro,GM,1631774881,13.35,-15.75,74.73,96,100,4.72
309,Upernavik,GL,1631774673,72.7868,-56.1549,28.33,79,100,7.74
310,Airai,TL,1631774882,-8.9266,125.4092,74.91,45,32,6.35
311,Balkanabat,TM,1631774882,39.5108,54.3671,92.53,20,0,6.46
312,Syumsi,RU,1631774883,57.1111,51.6149,40.01,88,100,8.68
313,Loukhi,RU,1631774883,66.0764,33.0381,41.0,74,100,6.44
314,Baruun-Urt,MN,1631774884,46.6806,113.2792,69.66,31,0,13.87
315,Miraflores,MX,1631774884,19.2167,-98.8083,55.9,88,100,3.62
316,Gunjur,GM,1631774884,13.2019,-16.7339,71.67,100,75,21.85
317,Wajima,JP,1631774649,37.4,136.9,79.48,73,20,5.75
318,Buala,SB,1631774885,-8.145,159.5921,81.57,77,63,7.43
319,Acarí,PE,1631774886,-15.4311,-74.6158,62.78,73,64,4.54
320,Banfora,BF,1631774886,10.6333,-4.7667,70.81,95,89,2.59
321,Mandera,KE,1631774887,3.9366,41.867,86.76,47,99,14.45
322,Tshikapa,CD,1631774887,-6.4167,20.8,78.44,70,100,5.55
323,Juneau,US,1631774887,58.3019,-134.4197,48.85,96,90,8.05
324,Sydney,AU,1631774888,-33.8679,151.2073,63.9,70,20,5.99
325,Edd,ER,1631774888,13.9297,41.6925,94.19,46,21,10.69
326,Cockburn Town,TC,1631774888,21.4612,-71.1419,82.13,80,24,13.71
327,Shimokizukuri,JP,1631774889,40.8061,140.3861,74.25,57,100,8.61
328,Vung Tau,VN,1631774889,10.346,107.0843,82.8,75,83,5.79
329,Mahon,ES,1631774889,39.8885,4.2658,75.76,69,20,14.97
330,Biltine,TD,1631774890,14.5333,20.9167,89.76,23,44,9.01
331,Ishigaki,JP,1631774890,24.3448,124.1572,84.33,84,40,4.61
332,Morant Bay,JM,1631774891,17.8815,-76.4093,82.02,86,85,8.77
333,Raduzhny,RU,1631774891,62.0961,77.475,42.31,94,100,17.31
334,San Patricio,US,1631774891,28.017,-97.5169,80.83,77,7,5.14
335,Hulan Ergi,CN,1631774891,47.2042,123.6333,70.27,47,0,9.37
336,Thayetmyo,MM,1631774892,19.3167,95.1833,86.25,74,99,7.9
337,Acapulco de Juárez,MX,1631774892,16.8634,-99.8901,78.39,87,100,3.22
338,Port Shepstone,ZA,1631774669,-30.7414,30.455,61.81,88,100,5.32
339,Tautira,PF,1631774893,-17.7333,-149.15,78.82,77,39,18.52
340,La Libertad,EC,1631774893,-2.2333,-80.9,68.34,86,100,6.96
341,Raymond,US,1631774894,43.9015,-70.4703,66.24,91,100,3.42
342,Road Town,VG,1631774894,18.4167,-64.6167,83.19,77,59,16.64
343,Yar-Sale,RU,1631774894,66.8333,70.8333,43.59,73,100,13.58
344,Iwanai,JP,1631774895,42.9744,140.5089,64.67,69,100,5.3
345,Eséka,CM,1631774895,3.65,10.7667,74.34,96,94,2.95
346,Chiredzi,ZW,1631774895,-21.05,31.6667,78.48,52,4,8.14
347,Tigil',RU,1631774895,57.8,158.6667,53.29,71,71,6.11
348,Avera,US,1631774896,33.194,-82.5271,71.71,98,100,6.69
349,Muzhi,RU,1631774896,65.3667,64.6667,44.11,80,100,16.26
350,Yangi Marg`ilon,UZ,1631774896,40.4272,71.7189,84.92,18,0,6.91
351,Chapais,CA,1631774897,49.7834,-74.8492,44.38,98,27,3.65
352,Biak,ID,1631774897,-0.9131,122.8766,76.03,87,100,5.75
353,Darhan,MN,1631774897,49.4867,105.9228,70.84,40,8,3.91
354,Daru,PG,1631774897,-9.0763,143.2092,77.54,71,57,17.47
355,Onokhoy,RU,1631774898,51.932,108.0747,71.35,42,16,11.34
356,Leh,IN,1631774898,34.1667,77.5833,62.53,26,17,2.86
357,Banda Aceh,ID,1631774860,5.5577,95.3222,86.2,60,100,9.64
358,Alyangula,AU,1631774898,-13.8483,136.4192,89.47,40,23,12.66
359,Sørland,NO,1631774900,67.667,12.6934,49.86,76,0,10.36
360,Fort Nelson,CA,1631774900,58.8053,-122.7002,42.39,81,75,3.44
361,Boyolangu,ID,1631774900,-8.1181,111.8935,82.81,69,44,9.69
362,Datong,CN,1631774901,40.0936,113.2914,69.26,48,100,8.72
363,Vila Franca do Campo,PT,1631774901,37.7167,-25.4333,64.81,81,7,0.72
364,Akureyri,IS,1631774901,65.6835,-18.0878,51.73,87,40,5.75
365,Ulladulla,AU,1631774902,-35.35,150.4667,60.87,63,12,4.38
366,Ust'-Barguzin,RU,1631774902,53.45,108.9833,54.95,64,92,7.74
367,Pampierstad,ZA,1631774902,-27.7832,24.6877,59.76,21,0,7.47
368,Zyryanovsk,KZ,1631774903,49.7386,84.2719,74.73,12,99,2.26
369,Cooma,AU,1631774903,-36.2333,149.1333,55.17,40,40,8.05
370,Sfântu Gheorghe,RO,1631774842,45.8667,25.7833,66.65,55,97,0.81
371,Carballo,ES,1631774656,43.213,-8.691,62.55,92,47,3.94
372,Shimoda,JP,1631774904,34.6667,138.95,79.16,72,58,14.94
373,Novonukutskiy,RU,1631774904,53.7002,102.7117,49.69,82,99,1.59
374,Reguengos de Monsaraz,PT,1631774741,38.4253,-7.5349,61.75,82,0,2.73
375,Ocean City,US,1631774905,39.2776,-74.5746,74.14,90,100,5.01
376,Qinhuangdao,CN,1631774905,39.9317,119.5883,69.8,82,100,9.62
377,Muskegon,US,1631774905,43.3,-86.1334,56.25,90,1,0.0
378,Kargasok,RU,1631774905,59.0556,80.8572,51.08,96,100,14.05
379,Auki,SB,1631774906,-8.7676,160.7034,80.47,78,23,5.14
380,Kayseri Province,TR,1631774724,38.737,35.4968,59.02,77,75,0.0
381,Quanzhou,CN,1631774906,24.9139,118.5858,91.35,55,76,2.8
382,Nago,JP,1631774907,26.5881,127.9761,88.23,73,7,11.16
383,Medicine Hat,CA,1631774907,50.0501,-110.6683,49.44,72,75,4.61
384,Cherskiy,RU,1631774907,68.75,161.3,34.05,65,93,1.77
385,Santa Maria,BR,1631774907,-29.6842,-53.8069,46.29,90,3,4.61
386,North Bend,US,1631774908,43.4065,-124.2243,55.31,76,1,14.97
387,El Alto,PE,1631774908,-4.2714,-81.2147,62.83,83,4,14.0
388,Geraldton,AU,1631774908,-28.7667,114.6,66.61,52,40,18.41
389,Souillac,MU,1631774909,-20.5167,57.5167,74.35,78,75,9.22
390,La Ronge,CA,1631774909,55.1001,-105.2842,50.25,50,1,8.05
391,Mossamedes,AO,1631774909,-15.1961,12.1522,64.83,80,45,4.38
392,Westport,US,1631774909,41.1415,-73.3579,74.95,88,1,5.01
393,Juiz de Fora,BR,1631774910,-21.7642,-43.3503,59.79,84,98,1.01
394,Lagos,NG,1631774905,6.5833,3.75,75.52,89,100,2.35
395,Half Moon Bay,US,1631774910,37.4636,-122.4286,59.9,87,90,1.01
396,Nelson Bay,AU,1631774911,-32.7167,152.15,60.96,76,11,5.95
397,Tuatapere,NZ,1631774911,-46.1333,167.6833,43.83,81,83,5.5
398,Grindavik,IS,1631774911,63.8424,-22.4338,51.75,100,90,17.27
399,Xining,CN,1631774911,36.6167,101.7667,67.46,45,10,4.97
400,Kieta,PG,1631774912,-6.2167,155.6333,81.01,80,90,6.4
401,Kalabo,ZM,1631774912,-14.97,22.6814,86.11,19,12,7.58
402,Sambava,MG,1631774912,-14.2667,50.1667,76.17,69,43,10.47
403,Wawa,NG,1631774912,9.9022,4.4192,74.43,92,96,4.47
404,Manama,BH,1631774902,26.2154,50.5832,95.34,47,0,12.66
405,Labuan,MY,1631774913,5.2767,115.2417,84.56,61,20,0.0
406,Wexford,IE,1631774913,52.3342,-6.4575,55.58,81,17,4.12
407,Kyren,RU,1631774914,51.6828,102.1408,69.51,36,47,2.13
408,Boquira,BR,1631774914,-12.8231,-42.7306,68.31,67,0,3.11
409,Bathsheba,BB,1631774914,13.2167,-59.5167,83.01,78,20,12.66
410,Ogbomosho,NG,1631774915,8.133,4.25,72.28,95,100,5.79
411,Longyearbyen,SJ,1631774915,78.2186,15.6401,40.84,70,75,10.36
412,Diu,IN,1631774915,20.7141,70.9822,82.27,85,100,20.87
413,Shebalino,RU,1631774915,51.2917,85.6772,68.25,25,100,1.95
414,Kalat,PK,1631774916,29.0225,66.5916,81.43,17,0,8.84
415,Hare Bay,CA,1631774916,48.8499,-54.0148,51.15,86,100,14.18
416,Kirkuk,IQ,1631774916,35.4681,44.3922,90.81,21,0,11.43
417,Tabou,CI,1631774917,4.423,-7.3528,75.29,89,100,5.03
418,Ahipara,NZ,1631774917,-35.1667,173.1667,58.95,97,67,6.89
419,Byron Bay,AU,1631774917,-28.65,153.6167,70.05,65,0,14.14
420,Isangel,VU,1631774917,-19.55,169.2667,77.11,78,20,0.0
421,Saint-Joseph,RE,1631774918,-21.3667,55.6167,77.36,70,4,8.48
422,Susuman,RU,1631774918,62.7833,148.1667,55.78,47,0,2.37
423,Plattling,DE,1631774918,48.7833,12.8667,65.12,86,100,3.98
424,Arenápolis,BR,1631774919,-14.4503,-56.8461,74.88,69,10,3.06
425,Tocopilla,CL,1631774919,-22.092,-70.1979,59.16,68,22,6.91
426,Arroyo de la Encomienda,ES,1631774919,41.6096,-4.7969,57.24,90,20,5.75
427,Hastings,GB,1631774920,50.8552,0.5729,61.52,99,68,2.91
428,Okhotsk,RU,1631774920,59.3833,143.3,57.09,76,99,10.11
429,Maniitsoq,GL,1631774920,65.4167,-52.9,34.7,51,100,6.78
430,Meulaboh,ID,1631774921,4.1363,96.1285,85.82,59,63,6.76
431,Cartagena del Chairá,CO,1631774921,1.3349,-74.8429,68.47,99,41,0.47
432,Macao,MO,1631774921,22.2006,113.5461,91.8,62,20,9.22
433,Svodín,SK,1631774704,47.9105,18.4997,71.13,45,71,3.76
434,Hong Kong,HK,1631774922,22.2855,114.1577,91.38,72,39,1.99
435,Don Luan,VN,1631774819,11.5333,106.9167,86.49,68,100,2.62
436,Zaysan,KZ,1631774922,47.4667,84.8667,79.81,14,96,6.78
437,Sioux Lookout,CA,1631774922,50.1001,-91.917,62.98,63,75,12.66
438,Waipawa,NZ,1631774923,-41.4122,175.5153,47.03,84,100,19.39
439,Vila do Maio,CV,1631774923,15.1333,-23.2167,79.59,77,96,13.04
440,Brae,GB,1631774923,60.3964,-1.353,55.31,93,100,4.81
441,Russkiy Aktash,RU,1631774924,55.0384,52.1214,42.15,67,100,14.54
442,Kokstad,ZA,1631774924,-30.5472,29.4241,49.01,91,100,4.12
443,Lucapa,AO,1631774924,-8.4192,20.7447,78.51,54,97,5.12
444,Birjand,IR,1631774925,32.8663,59.2211,86.47,5,0,4.61
445,Ingham,US,1631774925,42.6,-84.3833,57.74,93,1,5.75
446,Henties Bay,NA,1631774925,-22.116,14.2845,49.86,78,0,6.13
447,Tilichiki,RU,1631774925,60.4667,166.1,45.39,68,84,7.38
448,Doha,QA,1631774896,25.2867,51.5333,100.38,39,0,10.36
449,Makakilo City,US,1631774926,21.3469,-158.0858,77.32,73,1,4.61
450,Lorengau,PG,1631774926,-2.0226,147.2712,76.95,86,100,5.08
451,Anan,JP,1631774926,33.9167,134.65,76.78,86,100,14.92
452,Synya,RU,1631774927,65.3718,58.0387,48.88,63,100,9.35
453,Thanatpin,MM,1631774927,17.2119,96.3033,86.18,88,100,5.82
454,Altagracia de Orituco,VE,1631774927,9.8601,-66.3814,69.6,94,1,3.13
455,Anking,CN,1631774927,30.5092,117.0506,87.57,47,0,8.43
456,Nome,US,1631774928,64.5011,-165.4064,46.47,87,90,3.44
457,Lahaina,US,1631774928,20.8783,-156.6825,80.6,78,10,6.26
458,Hereford,GB,1631774928,52.0568,-2.7148,60.03,71,11,2.17
459,Oran,DZ,1631774901,35.6911,-0.6417,65.91,94,40,3.44
460,Manuk Mangkaw,PH,1631774929,4.8,119.85,79.32,80,100,10.8
461,Prainha,BR,1631774929,-1.8,-53.48,73.44,87,9,4.23
462,Pacific Grove,US,1631774929,36.6177,-121.9166,57.76,90,90,3.0
463,Tam Ky,VN,1631774930,15.5667,108.4833,89.58,72,100,8.03
464,Atasū,KZ,1631774930,48.6814,71.6433,75.88,12,18,12.15
465,Seshcha,RU,1631774930,53.7361,33.3387,47.91,67,2,5.99
466,Noril'sk,RU,1631774778,69.3535,88.2027,39.0,97,100,9.37
467,Los Teques,VE,1631774931,10.3445,-67.0433,61.81,91,0,0.92
468,San Cristobal,VE,1631774931,7.7669,-72.225,64.72,86,32,2.55
469,San Ramon,US,1631774931,37.7799,-121.978,59.14,86,1,1.01
470,Horta,PT,1631774932,38.5333,-28.6333,67.64,88,20,3.44
471,Poum,NC,1631774932,-20.2333,164.0167,70.83,62,71,19.86
472,Sawtell,AU,1631774932,-30.3833,153.1,64.72,66,75,14.97
473,Seoul,KR,1631774684,37.5683,126.9778,81.79,44,0,10.36
474,Plettenberg Bay,ZA,1631774933,-34.0527,23.3716,53.82,85,100,4.38
475,Oranjestad,AW,1631774933,12.524,-70.027,83.19,84,10,21.3
476,Belmonte,BR,1631774933,-15.8631,-38.8828,72.1,87,26,6.29
477,Bundaberg,AU,1631774934,-24.85,152.35,73.69,31,10,12.66
478,Samarinda,ID,1631774934,-0.5,117.15,74.91,93,100,3.67
479,Zhezkazgan,KZ,1631774801,47.8043,67.7144,78.19,20,0,11.41
480,Abonnema,NG,1631774934,4.7084,6.7931,75.22,93,100,4.52
481,Narok,KE,1631774935,-1.0783,35.8601,66.9,67,67,8.97
482,Muravlenko,RU,1631774935,63.7898,74.523,48.38,66,100,17.25
483,Necochea,AR,1631774935,-38.5473,-58.7368,46.85,68,0,9.28
484,Talcahuano,CL,1631774936,-36.7167,-73.1167,42.48,93,0,5.75
485,San-Pédro,CI,1631774936,4.7485,-6.6363,74.23,93,100,4.97
486,Bismarck,US,1631774936,46.8083,-100.7837,61.86,60,1,8.05
487,Pinotepa de Don Luis,MX,1631774937,16.4167,-97.9167,71.64,98,100,1.63
488,Mīzan Teferī,ET,1631774937,6.9833,35.5833,73.35,66,100,2.48
489,Bonfim,BR,1631774937,3.0833,-59.95,75.92,74,1,2.1
490,Oga,IT,1631774937,46.4631,10.347,54.64,93,100,3.83
491,Bouca,CF,1631774938,6.5105,18.2733,75.0,93,98,1.68
492,Bolobo,CD,1631774938,-2.1667,16.2333,77.56,75,100,3.58
493,Nuuk,GL,1631774938,64.1835,-51.7216,34.41,69,75,6.91
494,Baylo,PH,1631774938,7.8539,126.0581,80.24,89,100,2.01
495,Fuxin,CN,1631774939,42.0156,121.6589,72.18,56,100,10.98
496,Chërnaya Kholunitsa,RU,1631774939,58.8511,51.7154,38.43,98,100,10.42
497,Havelock,US,1631774939,34.8791,-76.9013,75.94,94,100,4.56
498,Traverse City,US,1631774940,44.7631,-85.6206,55.35,76,1,0.0
499,Champotón,MX,1631774940,19.35,-90.7167,79.3,80,83,8.32
500,Mandalgovi,MN,1631774940,45.7625,106.2708,69.96,33,8,16.91
501,Delémont,CH,1631774941,47.3649,7.3445,66.13,99,100,3.13
502,Chauk,MM,1631774941,20.8833,94.8167,88.52,64,100,6.49
503,Kambove,CD,1631774942,-10.8764,26.5969,78.55,25,74,7.0
504,Tutóia,BR,1631774942,-2.7619,-42.2744,79.25,85,15,12.8
505,Touros,BR,1631774942,-5.1989,-35.4608,76.1,90,59,11.99
506,Babati,TZ,1631774943,-4.2167,35.75,73.99,50,85,6.91
507,Graaff-Reinet,ZA,1631774943,-32.2522,24.5308,50.92,63,97,6.49
508,Noumea,NC,1631774717,-22.2763,166.4572,71.58,60,70,10.31
509,Pilot Butte,CA,1631774677,50.4668,-104.4178,48.65,60,90,9.22
510,Atar,MR,1631774710,20.5169,-13.0499,86.31,29,5,4.59
511,Valença do Piauí,BR,1631774944,-6.4075,-41.7456,75.09,50,6,4.79
512,Natchez,US,1631774916,31.5604,-91.4032,73.62,88,90,6.91
513,Denpasar,ID,1631774945,-8.65,115.2167,83.86,84,40,17.27
514,Loikaw,MM,1631774945,19.6742,97.2094,78.53,82,99,2.33
515,Madaoua,NE,1631774946,14.073,5.96,83.19,63,80,9.66
516,Malindi,KE,1631774946,-3.2175,40.1191,80.76,78,75,11.5
517,Along,IN,1631774735,28.1667,94.7667,94.14,44,79,2.44
518,Bonito,BR,1631774947,-21.1211,-56.4819,65.84,92,16,4.99
519,Saint Anthony,US,1631774947,45.0205,-93.218,70.18,55,90,7.0
520,High Prairie,CA,1631774947,55.4334,-116.4858,40.3,84,100,17.52
521,High Rock,BS,1631774948,26.6208,-78.2833,78.82,73,1,7.49
522,Raudeberg,NO,1631774948,61.9875,5.1352,53.2,96,100,2.19
523,Kununurra,AU,1631774948,-15.7667,128.7333,100.38,27,50,13.8
524,Mogadishu,SO,1631774949,2.0371,45.3438,82.27,89,40,12.66
525,Makkah al Mukarramah,SA,1631774848,21.4267,39.8261,94.08,27,0,7.78
526,Viedma,AR,1631774790,-40.8135,-62.9967,48.43,52,0,3.02
527,Tomatlán,MX,1631774949,19.9333,-105.25,74.17,96,54,2.91
528,Lyuban',BY,1631774950,52.7985,28.0048,52.9,59,100,8.84
529,Bonavista,CA,1631774950,48.6499,-53.1147,52.12,80,100,21.99
530,Hirara,JP,1631774950,24.8,125.2833,86.27,66,40,5.75
531,Russell,US,1631774951,32.3502,-85.1999,71.38,91,90,0.0
532,Burns Lake,CA,1631774951,54.2331,-125.7533,31.42,91,0,3.91
533,Hakkâri Province,TR,1631774919,37.5833,44.1667,65.98,26,0,2.3
534,Marzuq,YE,1631774951,14.4,46.4667,89.98,15,11,7.0
535,Villaviciosa,ES,1631774952,43.4813,-5.4357,67.39,94,95,2.33
536,Padang,ID,1631774952,-0.9492,100.3543,87.85,77,42,5.08
537,Matam,SN,1631774952,15.6175,-13.3303,75.2,94,0,4.61
538,La Seyne-sur-Mer,FR,1631774953,43.0982,5.8847,71.92,91,100,6.15
539,Palu,ID,1631774953,-0.8917,119.8707,76.17,97,100,3.89
540,Tal'menka,RU,1631774953,53.8183,83.5677,71.04,36,99,5.17
541,Tamworth,GB,1631774865,52.634,-1.6959,57.47,90,6,1.01
542,Perth,AU,1631774689,-31.9333,115.8333,62.6,57,20,24.16
543,Yabrūd,SY,1631774954,33.9674,36.6574,62.53,36,0,2.35
544,Paraíso,CR,1631774954,9.8383,-83.8656,63.46,98,100,1.54
545,Verāval,IN,1631774954,20.9,70.3667,82.31,86,100,19.77
546,Novyy Urgal,RU,1631774955,51.0736,132.5642,54.45,90,100,7.99
547,Tongren,CN,1631774955,27.7172,109.1853,86.52,69,39,2.98
